ID,Time Started,Time Ended,Time Worked,Status,Reason
56176605,10:09:56,10:09:58,00:00:01,Business Exception,Invalid WID
56176614,10:09:58,10:09:59,00:00:01,Business Exception,Invalid WID
56176570,10:10:00,10:10:00,00:00:00,Business Exception,Invalid WID
56176616,10:10:00,10:10:01,00:00:00,Business Exception,Invalid WID
56176622,10:10:02,10:10:03,00:00:01,Business Exception,Invalid WID
56176615,10:10:03,10:10:04,00:00:01,Business Exception,Invalid WID
56176635,10:10:05,10:10:06,00:00:00,Business Exception,Invalid WID
56176566,10:10:06,10:10:06,00:00:00,Business Exception,Invalid WID
56176623,10:10:07,10:10:07,00:00:00,Business Exception,Invalid WID
56176569,10:10:07,10:10:08,00:00:00,Business Exception,Invalid WID
56176561,10:10:08,10:10:20,00:00:11,Success,
56176631,10:10:20,10:10:21,00:00:00,Business Exception,Invalid WID
56176564,10:10:21,10:10:35,00:00:14,Success,
56176597,10:10:36,10:10:37,00:00:00,Business Exception,Invalid WID
56176553,10:10:37,10:10:48,00:00:11,Success,
56176554,10:10:48,10:11:01,00:00:12,Success,
56176638,10:11:02,10:11:03,00:00:01,Business Exception,Invalid WID
56176639,10:11:03,10:11:04,00:00:00,Business Exception,Invalid WID
56176573,10:11:04,10:11:05,00:00:00,Business Exception,Invalid WID
56176576,10:11:06,10:11:06,00:00:00,Business Exception,Invalid WID
56176612,10:11:06,10:11:07,00:00:00,Business Exception,Invalid WID
56176572,10:11:08,10:11:10,00:00:02,Business Exception,Invalid WID
56176594,10:11:10,10:11:11,00:00:00,Business Exception,Invalid WID
56176579,10:11:11,10:11:12,00:00:00,Business Exception,Invalid WID
56176593,10:11:13,10:11:13,00:00:00,Business Exception,Invalid WID
56176583,10:11:15,10:11:16,00:00:00,Business Exception,Invalid WID
56176589,10:11:16,10:11:18,00:00:01,Business Exception,Invalid WID
56176577,10:11:18,10:11:19,00:00:00,Business Exception,Invalid WID
56176628,10:11:19,10:11:19,00:00:00,Business Exception,Invalid WID
56176586,10:11:20,10:11:20,00:00:00,Business Exception,Invalid WID
56176588,10:11:21,10:11:21,00:00:00,Business Exception,Invalid WID
56176598,10:11:21,10:11:22,00:00:00,Business Exception,Invalid WID
56176563,10:11:23,10:11:39,00:00:16,Success,
56176617,10:11:39,10:11:40,00:00:00,Business Exception,Invalid WID
56176557,10:11:40,10:11:52,00:00:11,Success,
56176580,10:11:53,10:11:54,00:00:01,Business Exception,Invalid WID
